generation;fitness;q1;q2;home_venue;fitness_sum
1;5471576;2380000;1970000;345000;1182637777
2;5087805;2220000;1850000;245000;1113134640
3;4883342;2105000;1770000;240000;1042859243
4;4854389;2100000;1740000;240000;999440073
5;4812782;2055000;1710000;270000;951490152
6;4812782;2055000;1710000;270000;909995803
7;4724757;1995000;1680000;260000;884458124
8;4700579;1975000;1740000;230000;864688913
9;4699758;2125000;1550000;260000;854765734
10;4519540;1970000;1610000;185000;846168021
11;4519540;1970000;1610000;185000;854128458
12;4519540;1970000;1610000;185000;842093808
13;4519540;1970000;1610000;185000;833039611
14;4519540;1970000;1610000;185000;843865538
15;4519540;1970000;1610000;185000;842815720
16;4519540;1970000;1610000;185000;839800180
17;4519540;1970000;1610000;185000;831128234
18;4519540;1970000;1610000;185000;836492914
19;4519540;1970000;1610000;185000;840381949
20;4519540;1970000;1610000;185000;823764643
21;4519540;1970000;1610000;185000;826591943
22;4519540;1970000;1610000;185000;832108693
23;4519540;1970000;1610000;185000;831641677
24;4519540;1970000;1610000;185000;834710754
25;4460211;1990000;1520000;185000;826142342
26;4460211;1990000;1520000;185000;829931714
27;4460211;1990000;1520000;185000;824519397
28;4460211;1990000;1520000;185000;817789154
29;4460211;1990000;1520000;185000;837237013
30;4460211;1990000;1520000;185000;845796913
31;4460211;1990000;1520000;185000;844651740
32;4460211;1990000;1520000;185000;843496826
33;4460211;1990000;1520000;185000;838219220
34;4460211;1990000;1520000;185000;825316439
35;4460211;1990000;1520000;185000;824266082
36;4460211;1990000;1520000;185000;821895855
37;4460211;1990000;1520000;185000;819275237
38;4460211;1990000;1520000;185000;815839634
39;4460211;1990000;1520000;185000;806463929
40;4460211;1990000;1520000;185000;801513699
41;4460211;1990000;1520000;185000;806188965
42;4460211;1990000;1520000;185000;807558695
43;4460211;1990000;1520000;185000;801779131
44;4460211;1990000;1520000;185000;802085986
45;4460211;1990000;1520000;185000;803498117
46;4460211;1990000;1520000;185000;803176179
47;4460211;1990000;1520000;185000;804196069
48;4460211;1990000;1520000;185000;798435990
49;4460211;1990000;1520000;185000;804314478
50;4460211;1990000;1520000;185000;801807142
51;4460211;1990000;1520000;185000;800034535
52;4460211;1990000;1520000;185000;797188099
